id,project_code,name,project_type,clients,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,status,remark,created_by,assigned_to,created_at,is_active
3243,004rot029,New B2B project opportunity....ROTH | QSG,CATI,Roth MKM,44,,1,0,,2025-01-20 05:30:00,2025-01-27 05:30:00,"7 days, 0:00:00",In Progress,,Saransh Sharma,Reeti Sharma,2025-01-22 05:00:27,1
3242,001glg777,Network Survey - Solar Panels II,CATI,GLG,50,,1,0,,2025-01-20 05:30:00,2025-02-06 05:30:00,"17 days, 0:00:00",In Progress,,Saransh Sharma,Navneet Tiwari,2025-01-22 04:59:57,1
3241,001glg776,PCP survey,CATI,GLG,49,,1,0,,2025-01-20 05:30:00,2025-01-27 05:30:00,"7 days, 0:00:00",To Be Started,,Saransh Sharma,Navneet Tiwari,2025-01-22 04:57:55,1
3240,001glg775,Fire and Life Safety Service,CATI,GLG,49,,1,0,,2025-01-20 05:30:00,2025-02-06 05:30:00,"17 days, 0:00:00",In Progress,,Saransh Sharma,Navneet Tiwari,2025-01-22 04:57:16,1
3239,001glg774,Telco Industry CEOs & CSOs - Dec 2024 (Survey#6086,CATI,GLG,40,,1,0,,2025-01-20 05:30:00,2025-02-06 05:30:00,"17 days, 0:00:00",On Hold,,Saransh Sharma,Navneet Tiwari,2025-01-22 04:54:57,1
3238,003pot237,Online tradesman directory platform,CATI,potloc,38,,1,0,,2025-01-20 05:30:00,2025-02-03 05:30:00,"14 days, 0:00:00",On Hold,,Saransh Sharma,Jagdeep Yadav,2025-01-22 04:53:46,1
3237,001glg773,Imagers and Scanners in 2024 - 608240,CATI,GLG,75,,1,0,,2025-01-17 05:30:00,2025-01-31 05:30:00,"14 days, 0:00:00",In Progress,,Saransh Sharma,Dipika Maheshwari,2025-01-22 00:32:33,1
3236,003pot236,2929a - Uni - Re: Potloc - Roadside Assistance Sur,CATI,potloc,42,,1,0,,2025-01-17 05:30:00,2025-01-24 05:30:00,"7 days, 0:00:00",Completed,,Saransh Sharma,Jagdeep Yadav,2025-01-22 00:31:38,1
3235,001glg772,GLG - Unimrkt - Heaters,CATI,GLG,49,,1,0,,2025-01-16 05:30:00,2025-02-06 05:30:00,"21 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-22 00:29:52,1
3234,074ath100,Cell Therapy,CATI,Atheneum,80,,1,0,,2025-01-08 05:30:00,2025-01-16 05:30:00,"8 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:34:56,1
3233,074ath099,Lyme Disease Study,CATI,Atheneum,80,,1,0,,2025-01-09 05:30:00,2025-01-20 05:30:00,"11 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:28:44,1
3232,074ath098,Public Channel Sizing,CATI,Atheneum,78,,1,0,,2025-01-09 05:30:00,2025-01-20 05:30:00,"11 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:23:52,1
3231,074ath097,Dysphagia Prostate Cancer Quant,CATI,Atheneum,65,,1,0,,2025-01-08 05:30:00,2025-01-15 05:30:00,"7 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:20:28,1
3230,074ath096,Demand Study HCP Survey,CATI,Atheneum,80,,1,0,,2025-01-09 05:30:00,2025-01-16 05:30:00,"7 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:14:57,1
3229,074ath095,Transplant Nephrology Study,CATI,Atheneum,80,,1,0,,2025-01-09 05:30:00,2025-01-20 05:30:00,"11 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:11:17,1
3228,074ath094,RDAN Quant AP166869,CATI,Atheneum,85,,1,0,,2025-01-10 05:30:00,2025-02-10 05:30:00,"31 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-21 23:08:24,1
3226,074ath093,Vaccine Study,CATI,Atheneum,95,,1,0,,2025-01-03 05:30:00,2025-01-30 05:30:00,"27 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-20 23:37:15,1
3225,074ath092,Office & Support Staff Study,CATI,Atheneum,82,,1,0,,2025-01-06 05:30:00,2025-01-13 05:30:00,"7 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-20 23:30:58,1
3224,074ath091,KAMs Study Quant,CATI,Atheneum,82,,1,0,,2025-01-06 05:30:00,2025-01-30 05:30:00,"24 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-20 21:23:01,1
3223,074ath090,Fertility specialists,CATI,Atheneum,70,,1,0,,2025-01-02 05:30:00,2025-01-13 05:30:00,"11 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-20 21:20:33,1
3222,074ath089,Gig Workers Survey,CATI,Atheneum,30,,1,0,,2025-12-02 05:30:00,2025-12-30 05:30:00,"28 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-20 21:17:32,1
3221,074ath088,Surgical Product Procurement,CATI,Atheneum,40,,1,0,,2025-01-03 05:30:00,2025-12-31 05:30:00,"362 days, 0:00:00",Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,2025-01-20 21:07:02,1
3220,083glo091,CCP3719 - Aluminium Market Data _ITALY,IDI,Global Data,293,,1,0,,2025-01-17 05:30:00,2025-01-22 05:30:00,"5 days, 0:00:00",Completed,,Gaurav Prashant Saxena,Vishal Pathak,2025-01-20 15:50:34,1
3218,036inn059,INV153276-US-Unimrkt CATI,CATI,Innovate MR,22,,1,0,,2025-01-15 05:30:00,2025-02-05 05:30:00,"21 days, 0:00:00",In Progress,,Saransh Sharma,Saurabh Malik,2025-01-16 02:14:08,1
3217,007qua077,Qual550434-1115-HCProviders | Unimrkt,CATI,Qualtrics,45,,1,0,,2025-01-15 05:30:00,2025-02-12 05:30:00,"28 days, 0:00:00",In Progress,,Saransh Sharma,Ankit Narang,2025-01-16 02:13:14,1
3216,003pot235,speech-language pathologists USA,CATI,potloc,72,,1,0,,2025-01-15 05:30:00,2025-01-22 05:30:00,"7 days, 0:00:00",In Progress,,Saransh Sharma,Dipika Maheshwari,2025-01-16 02:12:06,1
3215,002sym010,SYM250035 Bid Requests Builders in CA & Contractor,CATI,Symmetric Sampling,43,,1,0,,2025-01-15 05:30:00,2025-02-05 05:30:00,"21 days, 0:00:00",In Progress,,Saransh Sharma,Reeti Sharma,2025-01-16 02:11:13,1
3214,007qua076,Qual11605-0919-HartfordResidents-[AB],CATI,Qualtrics,20,,1,0,,2025-01-15 05:30:00,2025-01-29 05:30:00,"14 days, 0:00:00",In Progress,,Saransh Sharma,Reeti Sharma,2025-01-16 02:10:02,1
3213,036inn058,INVTMRFAS - US - Unimrkt CATI - INV165972,CATI,Innovate MR,90,,1,0,,2025-01-14 05:30:00,2025-01-30 05:30:00,"16 days, 0:00:00",In Progress,,Saransh Sharma,Dipika Maheshwari,2025-01-16 02:06:21,1
3212,001glg771,Fintech and Banks,CATI,GLG,49,,1,0,,2025-01-14 05:30:00,2025-02-04 05:30:00,"21 days, 0:00:00",In Progress,,Saransh Sharma,Navneet Tiwari,2025-01-16 02:05:29,1
3211,003pot234,RfQ - B2B: sanitary fittings,CATI,potloc,42,,1,0,,2025-01-14 05:30:00,2025-02-03 05:30:00,"20 days, 0:00:00",In Progress,,Saransh Sharma,Jagdeep Yadav,2025-01-16 02:04:32,1
3210,003pot233,Urgent RFQ - Auction platforms,CATI,potloc,42,,1,0,,2025-01-14 05:30:00,2025-02-03 05:30:00,"20 days, 0:00:00",In Progress,,Saransh Sharma,Jagdeep Yadav,2025-01-16 02:03:40,1
3209,001glg770,Used Equipment --EMEA PSF,CATI,GLG,49,,1,0,,2025-01-14 05:30:00,2025-02-06 05:30:00,"23 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-16 02:00:39,1
3208,055pym103,The ad hoc senders survey is ready to re-run,CATI,Pymnts,60,,1,0,,2025-01-14 05:30:00,2025-01-28 05:30:00,"14 days, 0:00:00",In Progress,,Saransh Sharma,Reeti Sharma,2025-01-16 01:58:44,1
3207,007qua075,Qual550434-1205-RegionalHealthPlan,CATI,Qualtrics,44,,1,0,,2025-01-14 05:30:00,2025-02-05 05:30:00,"22 days, 0:00:00",In Progress,,Saransh Sharma,Reeti Sharma,2025-01-16 01:57:05,1
3206,003pot232,2901a - Uni - Re: Potloc Request - Field Managemen,CATI,potloc,38,,1,0,,2025-01-14 05:30:00,2025-01-23 05:30:00,"9 days, 0:00:00",On Hold,,Saransh Sharma,Jagdeep Yadav,2025-01-16 01:55:47,1
3205,003pot231,2914a - Uni - Re: Potloc 1/9 Launch - EdTech Surve,CATI,potloc,42,,1,0,,2025-01-14 05:30:00,2025-01-21 05:30:00,"7 days, 0:00:00",Completed,,Saransh Sharma,Jagdeep Yadav,2025-01-16 01:55:04,1
3202,003pot230,Potloc B2B Project - Solvent Recovery Units (SRU).,CATI,potloc,38,,1,0,,2025-01-14 05:30:00,2025-02-07 05:30:00,"24 days, 0:00:00",In Progress,,Saransh Sharma,Jagdeep Yadav,2025-01-15 05:49:49,1
3201,036inn057,INV168046- US - Unimrkt CATI,CATI,Innovate MR,77,,1,0,,2025-01-14 05:30:00,2025-01-17 05:30:00,"3 days, 0:00:00",To Be Started,,Saransh Sharma,Dipika Maheshwari,2025-01-15 05:49:12,1
