id,project_code,name,cpi,clients,operation_select,project_type,other_cost,set_up_fee,tentative_end_date,tentative_start_date,project_assigned_to_teamlead,sample,total_achievement,remaining_interview,man_days,status,desabled
876,046rot066,Print on Demand (POD),40,Roth.MKM,true,CATI,null,0,false,false,,100,100,0,72.5,Completed,true
877,059cla061,EU/Japan Motorcycle Research,40,Clarity Research,true,CATI,null,200,false,false,,400,400,0,78.5,Completed,true
878,046rot067,Med spas U.S. ,42,Roth.MKM,true,CATI,null,0,false,false,,100,100,0,20,Completed,true
879,042pym056,Chief Financial Officers Survey (CAIO Instrument)  June 2024 Wave,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,8,Completed,true
880,042pym057,CFO Monitor - Phase 5,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,8.5,Completed,true
881,046rot068,Appliance Parts Distributors Survey,40,Roth.MKM,true,CATI,null,0,false,false,,250,250,0,36.5,Completed,true
882,044qua058,Sustainability Survey,49,Qualtrics,true,CATI,null,200,false,false,,150,150,0,14.5,Completed,true
883,037out038,Indiana Youth and Adult Edu1on study,20,Outsized Insights,true,CATI,null,200,false,false,,791,791,0,144,Completed,true
884,044qua059,Orthodontist Pricing study,40,Qualtrics,true,CATI,null,200,false,false,,250,250,0,38,Completed,true
885,042pym058,Financial Institutions Study,56,Pymnts,true,CATI,null,200,false,false,,200,200,0,36,Completed,true
886,046rot069,Pest Control Business,44,Roth.MKM,true,CATI,null,200,false,false,,100,100,0,39.5,Completed,true
887,046rot070,Live Events Survey,44,Roth.MKM,true,CATI,null,200,false,false,,50,50,0,11.5,Completed,true
888,042pym059,Corporate Sender Instruments (Wave 3),60,Pymnts,true,CATI,null,200,false,false,,200,200,0,30.75,Completed,true
889,053zei054,Amazon CTXR Survey,42,Zeitgeistresearch,true,CATI,null,200,false,false,,300,300,0,67,Completed,true
890,038oxf045,Tourist Attraction Wave 2,39.75,Oxford Economics,true,CATI,null,0,false,false,,150,150,0,16.5,Completed,true
891,046rot071,PMIS,44,Roth.MKM,true,CATI,null,0,false,false,,100,100,0,14.25,Completed,true
892,046rot072,Digital Brand Managers at larger enterprises,45,Roth.MKM,true,CATI,null,200,false,false,,100,100,0,31.5,Completed,true
893,042pym060,CAIO Instruments July wave,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,8,Completed,true
894,046rot073,Upwork Business July 2024,32,Roth.MKM,true,CATI,null,250,false,false,,100,100,0,10,Completed,true
895,038oxf046,CEO Brand Awareness Wave #47,36,Oxford Economics,true,CATI,null,0,false,false,,200,200,0,39,Completed,true
896,042pym061,CFO Monitor - Phase 6,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,7,Completed,true
897,044qua060,HomeValue,35,Qualtrics,true,CATI,null,200,false,false,,150,150,0,9.5,Completed,true
898,046rot074,Edu1on/ Mainly K-12 schools,44,Roth.MKM,true,CATI,null,200,false,false,,50,50,0,6.5,Completed,true
899,046rot075,Phantom,38,Roth.MKM,true,CATI,null,0,false,false,,400,400,0,71,Completed,true
900,044qua061,HR Leaders Tabs,44,Qualtrics,true,CATI,null,200,false,false,,300,300,0,61,Completed,true
901,038oxf047,IBM US Pulse Wave 50 Generative AI and Tech Spending (2024 Re-Field) Survey,37,Oxford Economics,true,CATI,null,0,false,false,,100,100,0,18,Completed,true
902,042pym062,CFO Monitor-Phase 7,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,9,Completed,true
903,038oxf048,Global pulse wave 6,37,Oxford Economics,true,CATI,null,0,false,false,,400,400,0,35.5,Completed,true
904,038oxf049,IBM Telecommuni1on 2025 Study,46,Oxford Economics,true,CATI,null,0,false,false,,750,750,0,101,Completed,true
905,042pym063,Chief Financial Officers Survey (CAIO Instrument)  August 2024 Wave,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,7.75,Completed,true
906,044qua062,People Analytics Survey,45,Qualtrics,true,CATI,null,200,false,false,,30,30,0,4.25,Completed,true
907,046rot076,B2B Marketing platforms/ marketing cloud solutions,43,Roth.MKM,true,CATI,null,0,false,false,,150,150,0,30.25,Completed,true
908,042pym064,Digital Lending Readiness Survey,64,Pymnts,true,CATI,null,200,false,false,,45,45,0,7.5,Completed,true
909,046rot077,Auto Repair Garage Operators Survey ,40,Roth.MKM,true,CATI,null,200,false,false,,200,200,0,22,Completed,true
910,046rot078,Roofing Business Survey (August Wave),45,Roth.MKM,true,CATI,null,200,false,false,,166,166,0,34,Completed,true
911,061dig064,Architects and Designers Survey,46,Digital Research,true,CATI,null,200,false,false,,52,52,0,6.5,Completed,true
912,038oxf050,IBM US Pulse Wave 52 Generative AI – CMO Survey (Part A),37,Oxford Economics,true,CATI,null,0,false,false,,100,100,0,4.75,Completed,true
913,038oxf051,IBM US Pulse Wave 52 Generative AI – CMO Survey (Part B),37,Oxford Economics,true,CATI,null,0,false,false,,100,100,0,5,Completed,true
914,046rot079,Tech Related Survey,45,Roth.MKM,true,CATI,null,200,false,false,,52,52,0,9.5,Completed,true
915,046rot080,Cinema Adve47sing,46,Roth.MKM,true,CATI,null,200,false,false,,45,45,0,5.5,Completed,true
916,064glg078,S63conductors Supply Chain III,56,GLG,true,CATI,null,0,false,false,,12,12,0,1.25,Completed,true
917,064glg079,Price CheX: Industry Cameras << 602993,48.5888888888889,GLG,true,CATI,null,0,false,false,,90,90,0,12.75,Completed,true
918,064glg080,Adve47sing in Mobile Gaming,48.7,GLG,true,CATI,null,0,false,false,,20,20,0,3.25,Completed,true
919,064glg081,eSentire Customers 1,51,GLG,true,CATI,null,0,false,false,,6,6,0,1.25,Completed,true
920,064glg082,Food Mftg Survey Request,53,GLG,true,CATI,null,0,false,false,,88,88,0,14,Completed,true
921,064glg083,Contact Center/Unified Comms,49,GLG,true,CATI,null,0,false,false,,77,77,0,11.25,Completed,true
922,064glg084,Acid-Etched Glass,49.36,GLG,true,CATI,null,0,false,false,,100,100,0,15.75,Completed,true
923,064glg085,Enterprise Service Management Software,48.6666666666667,GLG,true,CATI,null,0,false,false,,3,3,0,1.5,Completed,true
924,064glg086,Chief Sustainability Officers,51,GLG,true,CATI,null,0,false,false,,16,16,0,2.25,Completed,true
925,064glg087,PT Staffing Trends,49.25,GLG,true,CATI,null,0,false,false,,4,4,0,1.75,Completed,true
926,064glg088,Texas Finance DMs,51.6222222222222,GLG,true,CATI,null,0,false,false,,45,45,0,6.75,Completed,true
927,064glg089,Agricultural Technology,49,GLG,true,CATI,null,0,false,false,,14,14,0,2,Completed,true
928,064glg090,buyers of bucket trucks,49.5454545454546,GLG,true,CATI,null,0,false,false,,22,22,0,3.25,Completed,true
929,064glg091,Network Survey- Resins Furniture Trends,49.09375,GLG,true,CATI,null,0,false,false,,64,64,0,9,Completed,true
930,064glg092,The Future of Groceries 2nd Annual Survey (Survey,50,GLG,true,CATI,null,0,false,false,,78,78,0,10,Completed,true
931,064glg093,Identity Solution Insights,49.71875,GLG,true,CATI,null,0,false,false,,32,32,0,4.5,Completed,true
932,064glg094,Landscaping Market Trends,48,GLG,true,CATI,null,0,false,false,,23,23,0,6,Completed,true
933,064glg095,Automotive Dealers,49.0833333333333,GLG,true,CATI,null,0,false,false,,24,24,0,3.25,Completed,true
934,064glg096,Commercial and Industrial Utility Customer Study,49,GLG,true,CATI,null,0,false,false,,11,11,0,1.75,Completed,true
935,064glg097,Job market trend in Japan,48,GLG,true,CATI,null,0,false,false,,8,8,0,1.25,Completed,true
936,064glg098,Research & Insights Survey,49,GLG,true,CATI,null,0,false,false,,65,65,0,8.25,Completed,true
937,064glg099,SentinelOne Partners,48.6428571428572,GLG,true,CATI,null,0,false,false,,14,14,0,2.5,Completed,true
938,064glg100,Pharmacy ERP Software Solutions,51,GLG,true,CATI,null,0,false,false,,20,20,0,4,Completed,true
939,064glg101,Network Survey- Waste Management,48.8809523809524,GLG,true,CATI,null,0,false,false,,42,42,0,6.25,Completed,true
940,064glg102,Independent Chainsaw Retailers,49.36,GLG,true,CATI,null,0,false,false,,50,50,0,6,Completed,true
941,064glg103,Fashion E-Commerce (July 2024),58,GLG,true,CATI,null,0,false,false,,30,30,0,5,Completed,true
942,064glg104,IT Resellers 2024 (July 2024),54,GLG,true,CATI,null,0,false,false,,6,6,0,1,Completed,true
943,064glg105,CIAM Experts,49.0769230769231,GLG,true,CATI,null,0,false,false,,26,26,0,4.5,Completed,true
944,064glg106,Tech Grown Intl Survey,50.2,GLG,true,CATI,null,0,false,false,,5,5,0,0.75,Completed,true
945,064glg107,Marketing Roles/Investment Survey,47.5714285714286,GLG,true,CATI,null,0,false,false,,35,35,0,4.5,Completed,true
946,064glg108,IBM Platinum Partners (July 2024),49.4545454545455,GLG,true,CATI,null,0,false,false,,22,22,0,3.25,Completed,true
947,064glg109,Aviation Repair and Maintenance survey Wave# 8,56,GLG,true,CATI,null,0,false,false,,52,52,0,10.25,Completed,true
948,064glg110,Pest Control Trends April 2024 (Wave 3),49.84,GLG,true,CATI,null,0,false,false,,50,50,0,8,Completed,true
949,064glg111,Locomotives and Railcar Survey - Re-run (July 2024,54,GLG,true,CATI,null,0,false,false,,25,25,0,3.25,Completed,true
950,064glg112,US Insurance Carriers,48.6904761904762,GLG,true,CATI,null,0,false,false,,42,42,0,6.25,Completed,true
951,064glg113,Real Estate Brokers,48,GLG,true,CATI,null,0,false,false,,70,70,0,8.75,Completed,true
952,064glg114,Restaurant Benefits Managers Survey,49,GLG,true,CATI,null,0,false,false,,54,54,0,6.75,Completed,true
953,064glg115,European Biogas Industry,49.2173913043478,GLG,true,CATI,null,0,false,false,,46,46,0,6,Completed,true
954,064glg116,OEM & System Integrator Study - PSF TEAM,40,GLG,true,CATI,null,0,false,false,,267,267,0,42.75,Completed,true
955,064glg117,Audit Management & Ce47fi1on Software,40,GLG,true,CATI,null,0,false,false,,50,50,0,7.5,Completed,true
956,064glg118,US Power Finance DMs,48.9054054054054,GLG,true,CATI,null,0,false,false,,74,74,0,11.25,Completed,true
957,064glg119,Voice of Customer Survey - 603815,48.6842105263158,GLG,true,CATI,null,0,false,false,,38,38,0,4.75,Completed,true
958,064glg120,Network Survey - Hospital Management Software,52.3695652173913,GLG,true,CATI,null,0,false,false,,46,46,0,6,Completed,true
959,064glg121,Customers of HVAC/Cooling Distribution - June 2024,45.9473684210526,GLG,true,CATI,null,0,false,false,,19,19,0,2.75,Completed,true
960,064glg122,Network Survey- Heat Pump Market II,48.5833333333333,GLG,true,CATI,null,0,false,false,,60,60,0,8,Completed,true
961,064glg123,Fractional Aircraft Owners Survey Request,42,GLG,true,CATI,null,0,false,false,,129,129,0,20.5,Completed,true
962,064glg124,Payor Survey-Unimrkt,51,GLG,true,CATI,null,0,false,false,,5,5,0,0.75,Completed,true
963,064glg125,Understanding Interest in Health Hardware Benefit,48.2222222222222,GLG,true,CATI,null,0,false,false,,27,27,0,4.5,Completed,true
964,064glg126,Software Space - Jun 24 (Survey #),51.78125,GLG,true,CATI,null,0,false,false,,64,64,0,8.75,Completed,true
965,064glg127,Legal Software,47.3461538461538,GLG,true,CATI,null,0,false,false,,26,26,0,4,Completed,true
966,064glg128,Pool Dealers (May 2024),52,GLG,true,CATI,null,0,false,false,,45,45,0,6.25,Completed,true
967,064glg129,Generative AI Value (Survey #603910),49.4102564102564,GLG,true,CATI,null,0,false,false,,39,39,0,5.25,Completed,true
968,064glg130,Feasibility Estimate for Value Added Reseller Stud,49,GLG,true,CATI,null,0,false,false,,10,10,0,1.25,Completed,true
969,064glg131,E-Commerce Merchant Sales Expansion Trends,51,GLG,true,CATI,null,0,false,false,,40,40,0,5,Completed,true
970,064glg132,Roofing Market Trends,48,GLG,true,CATI,null,0,false,false,,100,100,0,10.25,Completed,true
971,064glg133,Legal Practice Management Solutions,49.2909090909091,GLG,true,CATI,null,0,false,false,,55,55,0,8.25,Completed,true
972,064glg134,"Ce47port, Ce47PREP, and PVTCs",48.44,GLG,true,CATI,null,0,false,false,,25,25,0,3.75,Completed,true
973,064glg135,Logistics Survey - June 24 (Survey #),51.1851851851852,GLG,true,CATI,null,0,false,false,,54,54,0,7.75,Completed,true
974,064glg136,Commercial/Business Digital Banking Software-Unimr,49,GLG,true,CATI,null,0,false,false,,17,17,0,2.5,Completed,true
975,064glg137,ERP Users Poland (Survey #) May 2024,51,GLG,true,CATI,null,0,false,false,,12,12,0,1.25,Completed,true
976,064glg138,Financial Institutions Software,49,GLG,true,CATI,null,0,false,false,,17,17,0,2.5,Completed,true
977,064glg139,Accounting and Tax Firms ERP - PL,51,GLG,true,CATI,null,0,false,false,,13,13,0,1.75,Completed,true
978,064glg140,POS Home Improvement,49.25,GLG,true,CATI,null,0,false,false,,16,16,0,2.25,Completed,true
979,064glg141,Roofing-Unimrkt,48,GLG,true,CATI,null,0,false,false,,54,54,0,8.5,Completed,true
980,064glg142,Warehouse Trends,49.0714285714286,GLG,true,CATI,null,0,false,false,,28,28,0,4.5,Completed,true
981,064glg143,Construction Management Software - Real Estate Ass,48.7142857142857,GLG,true,CATI,null,0,false,false,,28,28,0,6.25,Completed,true
982,064glg144,Network Distributors and Customers (July 2024),56,GLG,true,CATI,null,0,false,false,,63,63,0,8.75,Completed,true
983,064glg145,Time Synchronization Research (#604706),48.9354838709677,GLG,true,CATI,null,0,false,false,,31,31,0,4.5,Completed,true
984,064glg146,SME Tax Advisors and accountants,48,GLG,true,CATI,null,0,false,false,,43,43,0,4.25,Completed,true
985,064glg147,SPECT Market Assessment 2024: 64 Feasibility Requ,54,GLG,true,CATI,null,0,false,false,,91,91,0,13.25,Completed,true
986,064glg148,Project Bid- Advisory and Consulting Survey,51.28,GLG,true,CATI,null,0,false,false,,50,50,0,7.75,Completed,true
987,064glg149,S63conductor Survey June 2024),58,GLG,true,CATI,null,0,false,false,,35,35,0,4.25,Completed,true
988,064glg150,Air Pollution Control Solutions - 2 (Survey #60455,47.2307692307692,GLG,true,CATI,null,0,false,false,,39,39,0,6.25,Completed,true
989,064glg151,Customers of HVAC/Cooling Distribution Add on samp,45.9473684210526,GLG,true,CATI,null,0,false,false,,19,19,0,2.75,Completed,true
990,064glg152,Independent Restaurant Owners in US - Survey Reque,49.1428571428571,GLG,true,CATI,null,0,false,false,,42,42,0,7.25,Completed,true
991,064glg153,"Testing, Inspection and Ce47fi1on",52.0806451612903,GLG,true,CATI,null,0,false,false,,62,62,0,7.75,Completed,true
992,064glg154,Building Managed Service Providers,49,GLG,true,CATI,null,0,false,false,,44,44,0,6,Completed,true
993,064glg155,64 - Unimrkt - Homebuilders,48.3529411764706,GLG,true,CATI,null,0,false,false,,17,17,0,2,Completed,true
